SpeciesA,SpeciesB,Interaction,location,reference,notes,,,,,,,,,,,,,,,,
Nomascus gabriellae,Uvaria cf. hamiltonii,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22675",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Uvaria cf. boniana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22676",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Uvaria cf. javana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22677",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Mitrephora thorelli,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22678",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Wilughbeia edulis,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22679",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Parabarium sp,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22680",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Melodinus yunnanensis,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22681",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Calamus flagellum,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22682",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Canarium album,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22683",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ochrocarpus siamensis,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22684",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Stixis scandens,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22685",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Siphonodon celastrineus,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22686",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Parinari annamemsis,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22687",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Garcinia cowa,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22688",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Garcinia ferrea,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22689",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Garcinia oliveri,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22690",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Garcinia cf. delpyana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22691",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Diospyros cf. sumatrana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22692",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Beilschmiedia roxburghiana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22693",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Strychnos dongnaiensis,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22694",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Grewia tomentosa,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22695",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Aglaia cf. hiernii,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22696",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Artocarpus lakoocha,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22697",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus altissima,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22698",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus dpressa,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22699",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus kurzii,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22700",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus sumatrana,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22701",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus cf. costata,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22702",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus subcordata,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22703",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus superba,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22704",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus cf. capillipes,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22705",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Artocarpus chaplasha,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22706",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus racemosa,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22707",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Ficus cf. consociate,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22708",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Knema lenta,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22709",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Olax scandens,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22710",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Acampe paillosa,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22711",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Zizyphus oenoplia,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22712",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Carallia brachiata,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22713",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Rothmannia eucodon,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22714",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Caesaria sp.,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22715",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Nephelium hypoleucum ,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22716",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Xerospermum noronhianum,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22717",,,,,,,,,,,,,,,,,
Nomascus gabriellae,Sphenodesma thorelii,frugivory,"Cat Tien National Park, Vietnam.","Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22718",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,lemurs ,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,flying foxes,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,pigeons,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,black lemurs,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix alfredi,lemurs ,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix alfredi,Alectroenus madagascariensis,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix alfredi,Treron australis,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix alfredi,Hypsipetes madagascariensis,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,Pteropus rufus,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Beccariophoenix madagascariensis,Eiodlon dupreanum,frugivory,Madagascar,"Shapcott, A. Rakotoarnivo, M. Smith, R. Lysakova, G. Fay, M. Dransfield. J. 2007. Can we bring Madagascar's critically endagered palms back from the brink? Genetics, ecology and conservation of the critically endangerend palm. Beccariophoenix madagascariensis. Botanical Journal of the Linnean Society. 154. 589-608",,,,,,,,,,,,,,,,,
Combretaceae,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Merrenia borneensis ,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Glochidion obscurum,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Mallotus muticus,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Hydnocarpus woodii,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Ficus globbosa,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Ficus pellucido-punctata,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Ficus depressa,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Ficus racemosa,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Ficus spp.,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Microcos antidesmifolia,Nasalis larvatus,frugivory,Borneo,"Boonratana, R. 2003. Feeding Ecology of Probosics Monkeys (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malasya",,,,,,,,,,,,,,,,,
Syzygium gustaviodes,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Baileyoxylon lanceolatum,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Acronicia vestita,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Athretonia diversifolia,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Austrobaileya scandens,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Austromyrtus dallachiana,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Baileyoxylon lanceolatum,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Beilschmeidia recurva,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Beilschmeidia tooram,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Beilschmeidia volcii,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Bowenia spectabilis,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Catenospora alphandii,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Cinnamomum laubatii,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Cryptocarpa oblata,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Diploglotis bracteata,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Eleocarpus angustifolia,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Endiandra insignis,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Endiandra ankeyana,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Endiandra xanthocarpa,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Faradaya splendida,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Ficus crassipes,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Ficus pleurocarpa,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Fontainea picrosperma,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Gmelina fasciculiflora,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Lethodon setosa,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Mammea touriga,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
Myristica insipida,Hypsiprymnodon moschatus,frugivory,Australia,"Dennis, A. 2002. The diet of the musky rat-kangaroo, Hypsiprymnodon moschatus, a rainforest specialist. Wildlife Research. 29. 209-219.",,,,,,,,,,,,,,,,,
